Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),PowerConsumption,DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s)
ResidualBlock-in_96x14x14-out_96-k_3-e_6-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.312,0.70793987,0.929536701,0.09922579,13.14060769,1.410103126,148.121
ResidualBlock-in_48x28x28-out_48-k_5-e_4-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.795281512,1.755327308,0.641797054,0.048944377,9.614830662,1.580482061,148.121
Conv_in-192x7x7_out-1152_k-1_act-h_swish,500,DPUCZDX8G_1:batch-1,1.094508891,0.420557215,1.814142574,0.025154742,12.53345615,1.153376421,738.593818
ResidualBlock-in_24x112x112-out_32-k_5-e_4-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.091594481,1.558139431,1.00261542,0.028499218,16.12269947,1.480914501,649.5792431
ResidualBlock-in_96x14x14-out_96-k_7-e_3-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.308488362,1.095736697,0.881354268,0.062367377,15.79927348,1.108456094,223.4130448
ResidualBlock-in_32x56x56-out_48-k_3-e_4-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.833901953,3.417243545,1.339169464,0.042648614,3.746963172,1.508693352,1309.377628
Conv_in-3x224x224_out-24_k-3_act-relu,500,DPUCZDX8G_1:batch-1,0.312,0.747479315,1.706259614,0.06317843,12.42489184,0.487480657,634.9482129
ResidualBlock-in_96x14x14-out_96-k_7-e_6-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.516137722,0.632534818,1.573816324,0.053123275,8.732351325,0.59286193,958.2049602
ResidualBlock-in_96x14x14-out_136-k_3-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.917939501,1.121810736,1.513695966,0.056949029,18.84833039,0.11,508.212706
ResidualBlock-in_32x56x56-out_32-k_5-e_4-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.284749081,1.907818093,1.733679219,0.035679656,17.83686842,1.345161013,731.7998292
ResidualBlock-in_136x14x14-out_192-k_7-e_4-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.244096786,0.318,2.823494179,0.059250006,14.51461853,0.916195505,350.0227975
